hostname,name,disc_method,disc_year,orbital_period,earth_mass,earth_radii,den_gcm3,parsec_dist,optmag,optmagband,nirmag,st_eff_temp,st_surface_g,st_lumin,solar_mass,solar_rad,age_gyr
Kepler-1522,Kepler-1522 b,Transit,2016,1.84788917,3.64,1.73,3.86,690,14.196,G (Gaia),12.621,5706,4.49,0.047,0.96,0.93,3.89
Kepler-1523,Kepler-1523 b,Transit,2016,0.93875077,3.12,1.58,4.35,918,14.837,G (Gaia),13.182,5708,4.46,-0.149,0.97,0.96,4.37
Kepler-1524,Kepler-1524 b,Transit,2016,70.9674603,12.3,3.54,1.52,506,12.7,G (Gaia),11.263,6179,4.31,-0.033,1.17,1.25,2.88
Kepler-1525,Kepler-1525 b,Transit,2016,2.41660118,0.693,0.91,5.05,396,12.692,G (Gaia),11.193,5748,4.44,-0.018,1.07,1.04,2.82
Kepler-1526,Kepler-1526 b,Transit,2016,3.908632,6.48,2.43,2.48,576,15.655,G (Gaia),13.208,4601,4.62,-0.772,0.73,0.69,4.68
Kepler-1527,Kepler-1527 b,Transit,2016,160.129918,20.4,4.77,1.03,1560,15.078,G (Gaia),13.617,6224,4.27,0.43,1.21,1.32,2.82
Kepler-1528,Kepler-1528 b,Transit,2016,1.79111021,2.73,1.46,4.82,916,14.476,G (Gaia),13.032,5857,4.43,-0.072,1.03,1.03,3.89
Kepler-1529,Kepler-1529 b,Transit,2016,5.33905686,5.06,2.1,3,683,15.388,G (Gaia),13.257,5048,4.58,-0.588,0.81,0.77,4.79
Kepler-153,Kepler-153 b,Transit,2014,18.870227,8.85,2.92,1.95,465.53,14.249,G (Gaia),12.418,5404,4.45,-0.461,0.83,0.89,4.79
Kepler-153,Kepler-153 c,Transit,2014,46.90232,6.94,2.53,2.35,465.53,14.249,G (Gaia),12.418,5404,4.45,-0.461,0.83,0.89,4.79
Kepler-1530,Kepler-1530 b,Transit,2016,2.5904434,3.33,1.64,4.15,552,14.005,G (Gaia),12.3,5477,4.52,-0.319,0.92,0.88,4.27
Kepler-1530,Kepler-1530 c,Transit,2016,5.3227406,3.36,1.65,4.11,552,14.005,G (Gaia),12.3,5477,4.52,-0.319,0.92,0.88,4.27
Kepler-1531,Kepler-1531 b,Transit,2016,1.13854338,1.41,1.11,5.67,670,13.171,G (Gaia),11.772,6260,4.29,0.26,1.16,1.27,2.82
Kepler-1532,Kepler-1532 b,Transit,2016,1.09366356,2.39,1.35,5.34,824,14.803,G (Gaia),13.23,5559,4.51,-0.21,0.91,0.88,4.27
Kepler-1533,Kepler-1533 b,Transit,2016,308.5471,11.8,3.46,1.57,852,13.168,G (Gaia),11.926,6431,4.2,0.594,1.31,1.51,2.19
Kepler-1534,Kepler-1534 b,Transit,2016,5.71668872,4.23,1.89,3.44,1107,16.235,G (Gaia),13.93,5442,4.52,-0.233,0.9,0.86,4.57
Kepler-1535,Kepler-1535 b,Transit,2016,138.9442,7.04,2.55,2.33,879,14.18,G (Gaia),12.744,6021,4.38,0.129,1.08,1.11,3.47
Kepler-1536,Kepler-1536 b,Transit,2016,364.758031,10,3.14,1.77,401,15.141,G (Gaia),12.55,4434,4.64,-0.853,0.71,0.67,2.95
Kepler-1537,Kepler-1537 b,Transit,2016,1.4444538,1.76,1.18,5.89,503,14.546,G (Gaia),12.519,5079,4.58,-0.457,0.81,0.77,5.01
Kepler-1538,Kepler-1538 b,Transit,2016,175.138819,8.35,2.82,2.05,1291,15.228,G (Gaia),13.751,5837,4.42,-0.088,1.03,1.03,4.37
Kepler-1539,Kepler-1539 b,Transit,2016,133.3036741,7.75,2.7,2.16,788,15.309,G (Gaia),13.382,5176,4.57,-0.438,0.84,0.8,4.79
Kepler-154,Kepler-154 b,Transit,2014,33.040532,5.73,2.26,2.73,939.89,14.512,G (Gaia),12.986,5690,4.42,0.016,0.98,1,4.47
Kepler-154,Kepler-154 c,Transit,2014,62.303276,9.01,2.95,1.93,939.89,14.512,G (Gaia),12.986,5690,4.42,0.016,0.98,1,4.47
Kepler-154,Kepler-154 d,Transit,2016,20.54981883,14.1,3.84,1.37,939.89,14.512,G (Gaia),12.986,5690,4.42,0.016,0.98,1,4.47
Kepler-154,Kepler-154 e,Transit,2016,3.93276465,2.86,1.5,4.66,939.89,14.512,G (Gaia),12.986,5690,4.42,0.016,0.98,1,4.47
Kepler-154,Kepler-154 f,Transit,2016,9.91935684,2.86,1.5,4.66,939.89,14.512,G (Gaia),12.986,5690,4.42,0.016,0.98,1,4.47
Kepler-1540,Kepler-1540 b,Transit,2016,125.4131177,6.76,2.49,2.41,262,14.083,G (Gaia),11.519,4540,4.63,-0.835,0.74,0.69,2.51
Kepler-1541,Kepler-1541 b,Transit,2016,8.40691199,1.65,1.16,5.81,414,13.791,G (Gaia),11.927,5282,4.56,-0.363,0.86,0.81,4.47
Kepler-1542,Kepler-1542 b,Transit,2016,3.95116882,0.363,0.76,4.54,336,12.588,G (Gaia),10.989,5564,4.41,0.061,0.94,0.99,8.51
Kepler-1542,Kepler-1542 c,Transit,2016,2.89223021,0.208,0.65,4.16,336,12.588,G (Gaia),10.989,5564,4.41,0.061,0.94,0.99,8.51
Kepler-1542,Kepler-1542 d,Transit,2016,5.99273738,0.59,0.87,4.92,336,12.588,G (Gaia),10.989,5564,4.41,0.061,0.94,0.99,8.51
Kepler-1542,Kepler-1542 e,Transit,2016,5.10115756,0.363,0.76,4.54,336,12.588,G (Gaia),10.989,5564,4.41,0.061,0.94,0.99,8.51
Kepler-1543,Kepler-1543 b,Transit,2016,6.96710269,7.8,2.71,2.15,1114,13.419,G (Gaia),12.291,6561,4.14,0.448,1.39,1.65,1.91
Kepler-1544,Kepler-1544 b,Transit,2016,168.811174,3.82,1.78,2.9,349,14.039,G (Gaia),11.903,4886,4.61,-0.636,0.81,0.74,2.34
Kepler-1545,Kepler-1545 b,Transit,2016,163.692349,7.75,2.7,2.16,688,15.033,G (Gaia),13.139,5201,4.57,-0.349,0.84,0.8,4.47
Kepler-1546,Kepler-1546 b,Transit,2016,19.5974971,9.96,3.13,1.78,994,15.368,G (Gaia),13.511,5623,4.48,-0.274,0.95,0.93,3.72
Kepler-1547,Kepler-1547 b,Transit,2016,0.69297968,0.666,0.9,5.02,665,13.408,G (Gaia),11.996,6078,4.34,0.184,1.12,1.18,3.39
Kepler-1548,Kepler-1548 b,Transit,2016,124.828679,7.46,2.64,2.23,1150,15.245,G (Gaia),13.7,5706,4.46,-0.311,0.99,0.97,4.37
Kepler-1549,Kepler-1549 b,Transit,2016,214.886545,7.13,2.57,2.31,792,15.152,G (Gaia),13.271,5324,4.54,-0.312,0.88,0.84,4.79
Kepler-155,Kepler-155 b,Transit,2014,5.931194,5.02,2.09,4.73,295.99,14.24,G (Gaia),11.805,4508,4.68,-0.759,0.72,0.62,2.9
Kepler-155,Kepler-155 c,Transit,2014,52.661793,5.65,2.24,4.73,295.99,14.24,G (Gaia),11.805,4508,4.68,-0.759,0.72,0.62,2.9
Kepler-1550,Kepler-1550 b,Transit,2016,225.582809,9.38,3.02,1.87,1202,14.884,G (Gaia),13.427,5991,4.38,0.091,1.07,1.11,3.55
Kepler-1551,Kepler-1551 b,Transit,2016,24.4973698,7.56,2.66,2.21,1560,15.098,G (Gaia),13.77,6136,4.32,0.2,1.14,1.22,2.88
Kepler-1552,Kepler-1552 b,Transit,2016,184.771853,6.66,2.47,2.43,618,14.931,G (Gaia),12.881,5202,4.58,-0.264,0.85,0.78,3.31
Kepler-1553,Kepler-1553 b,Transit,2016,4.24261881,1.6,1.15,5.78,719,14.991,G (Gaia),13.167,5288,4.56,-0.396,0.85,0.81,4.57
Kepler-1554,Kepler-1554 b,Transit,2016,198.088774,8.75,2.9,1.97,982,15.715,G (Gaia),13.814,5297,4.56,-0.396,0.84,0.81,4.68
Kepler-1555,Kepler-1555 b,Transit,2016,8.10501635,3.22,1.61,4.24,1382,15.326,G (Gaia),13.834,5866,4.4,0.403,1.04,1.06,4.37
Kepler-1556,Kepler-1556 b,Transit,2016,8.82713457,4.5,1.96,3.28,1060,15.298,G (Gaia),13.555,5608,4.47,-0.248,0.97,0.95,4.9
Kepler-1557,Kepler-1557 b,Transit,2016,3.74032496,2.96,1.53,4.54,1532,15.299,G (Gaia),13.8,6099,4.34,0.068,1.11,1.17,3.31
Kepler-1558,Kepler-1558 b,Transit,2016,3.50470358,0.244,0.68,4.26,343,13.6,G (Gaia),11.657,5101,4.57,-0.487,0.83,0.79,4.9
Kepler-1559,Kepler-1559 b,Transit,2016,0.97191543,0.299,0.72,4.4,580,14.488,G (Gaia),12.634,5316,4.55,-0.297,0.86,0.82,4.27
Kepler-156,Kepler-156 b,Transit,2014,4.973456,5.9,2.3,2.66,449.22,14.156,G (Gaia),12.155,5094,4.55,-0.441,0.84,0.81,5.37
Kepler-156,Kepler-156 c,Transit,2014,15.906801,7.04,2.55,2.33,449.22,14.156,G (Gaia),12.155,5094,4.55,-0.441,0.84,0.81,5.37
Kepler-1560,Kepler-1560 b,Transit,2016,3.03195744,0.64,0.89,4.99,529,13.385,G (Gaia),11.868,5815,4.43,-0.059,1.02,1.02,4.17
Kepler-1561,Kepler-1561 b,Transit,2016,1.00520701,1.32,1.09,5.6,993,14.648,G (Gaia),13.053,5957,4.38,-0.101,1.07,1.11,3.39
Kepler-1562,Kepler-1562 b,Transit,2016,64.2737752,12.3,3.55,1.51,1315,15.273,G (Gaia),13.849,5760,4.41,0.446,1.02,1.05,4.79
Kepler-1563,Kepler-1563 b,Transit,2016,3.43276598,0.347,0.75,4.52,547,13.568,G (Gaia),12.013,5765,4.45,-0.01,1,0.99,4.07
Kepler-1564,Kepler-1564 b,Transit,2016,18.0540381,2.76,1.47,4.77,872,14.953,G (Gaia),13.283,5528,4.5,-0.151,0.93,0.9,4.57
Kepler-1565,Kepler-1565 b,Transit,2016,1.53818844,1.81,1.19,5.9,657,15.432,G (Gaia),13.259,4940,4.6,-0.623,0.76,0.73,5.62
Kepler-1566,Kepler-1566 b,Transit,2016,0.53991524,0.418,0.79,4.66,511,14.312,G (Gaia),12.435,5254,4.56,-0.47,0.84,0.81,5.01
Kepler-1567,Kepler-1567 b,Transit,2016,153.979578,7.9,2.73,2.13,1226,15.632,G (Gaia),13.992,5655,4.49,-0.162,0.95,0.93,4.17
Kepler-1568,Kepler-1568 b,Transit,2016,20.925392,2.24,1.3,5.6,883,13.945,G (Gaia),12.618,5956,4.32,0.24,1.09,1.19,4.57
Kepler-1569,Kepler-1569 b,Transit,2016,5.79180156,3.46,1.68,4.01,1050,13.932,G (Gaia),12.59,6319,4.24,0.274,1.25,1.4,2.45
Kepler-157,Kepler-157 b,Transit,2014,1.732342,2.3,1.32,5.5,791.27,14.037,G (Gaia),12.573,5774,4.39,0.054,1.02,1.04,4.07
Kepler-157,Kepler-157 c,Transit,2014,13.5405,5.65,2.24,2.76,791.27,14.037,G (Gaia),12.573,5774,4.39,0.054,1.02,1.04,4.07
Kepler-157,Kepler-157 d,Transit,2016,7.02573474,2.73,1.46,4.82,791.27,14.037,G (Gaia),12.573,5774,4.39,0.054,1.02,1.04,4.07
Kepler-1570,Kepler-1570 b,Transit,2016,26.548955,1.24,1.07,5.56,463,13.97,G (Gaia),11.997,5550,4.5,0.281,0.92,0.89,4.17
Kepler-1571,Kepler-1571 b,Transit,2016,3.38555488,2.92,1.52,4.57,802,13.77,G (Gaia),12.044,6297,4.24,0.067,1.23,1.39,2.34
Kepler-1572,Kepler-1572 b,Transit,2016,5.49548621,0.779,0.94,5.15,600,13.718,G (Gaia),12.365,5618,4.47,0.36,0.97,0.95,4.79
Kepler-1573,Kepler-1573 b,Transit,2016,2.6157554,1.87,1.2,5.95,1180,15.169,G (Gaia),13.677,5808,4.44,0.165,1.01,1,4.07
Kepler-1574,Kepler-1574 b,Transit,2016,6.9424334,2.21,1.29,5.66,1275,15.094,G (Gaia),13.679,5892,4.4,0.153,1.06,1.08,3.8
Kepler-1575,Kepler-1575 b,Transit,2016,2.55314213,2.27,1.31,5.55,1170,15.418,G (Gaia),13.828,5667,4.49,-0.059,0.95,0.92,4.17
Kepler-1576,Kepler-1576 b,Transit,2016,6.98471973,1.12,1.04,5.47,539,13.335,G (Gaia),11.8,5876,4.4,-0.11,1.05,1.06,4.07
Kepler-1577,Kepler-1577 b,Transit,2016,6.30560247,1.51,1.13,5.75,543,15.057,G (Gaia),12.862,4862,4.6,-0.674,0.78,0.74,4.27
Kepler-1578,Kepler-1578 b,Transit,2016,1.45088691,1.12,1.04,5.47,1016,15.328,G (Gaia),13.655,5545,4.53,-0.176,0.9,0.86,4.27
Kepler-1579,Kepler-1579 b,Transit,2016,0.84990789,0.52,0.84,4.82,466,15.248,G (Gaia),12.744,4584,4.63,-0.94,0.75,0.7,2.24
Kepler-158,Kepler-158 b,Transit,2014,16.709184,5.14,2.12,2.96,318.06,14.417,G (Gaia),12.057,4623,4.66,-0.836,0.75,0.62,3.98
Kepler-158,Kepler-158 c,Transit,2014,28.551383,4.27,1.9,3.42,318.06,14.417,G (Gaia),12.057,4623,4.66,-0.836,0.75,0.62,3.98
Kepler-1580,Kepler-1580 b,Transit,2016,56.6449279,5.1,2.11,2.98,872,12.576,G (Gaia),11.254,6228,3.94,0.867,1.47,2.15,2.75
Kepler-1581,Kepler-1581 b,Transit,2016,6.28385491,0.437,0.8,4.69,443,12.353,G (Gaia),11.025,6022,4.31,0.325,1.12,1.23,4.17
Kepler-1582,Kepler-1582 b,Transit,2016,4.83817712,2.83,1.49,4.7,112,16.414,G (Gaia),12.435,3208,4.93,-2.07,0.28,0.3,7.76
Kepler-1583,Kepler-1583 b,Transit,2016,9.32807355,0.156,0.6,3.97,357,12.841,G (Gaia),11.279,5645,4.49,-0.031,0.94,0.91,4.27
Kepler-1584,Kepler-1584 b,Transit,2016,13.3997099,3.22,1.61,4.24,1325,14.884,G (Gaia),13.524,6069,4.37,0.255,1.1,1.13,3.31
Kepler-1585,Kepler-1585 b,Transit,2016,3.5827463,3.86,1.79,3.7,1269,15.977,G (Gaia),14.125,5538,4.5,-0.495,0.94,0.91,4.37
Kepler-1586,Kepler-1586 b,Transit,2016,15.6049212,2.92,1.52,4.57,864,13.056,G (Gaia),11.643,6681,4.12,0.148,1.45,1.75,1.7
Kepler-1587,Kepler-1587 b,Transit,2016,9.4060467,2.33,1.33,5.44,907,14.032,G (Gaia),12.632,5933,4.3,0.307,1.08,1.22,5.01
Kepler-1588,Kepler-1588 b,Transit,2016,7.84931739,0.363,0.76,4.54,658,13.821,G (Gaia),12.383,5817,4.43,0.297,0.96,0.99,5.5
Kepler-1589,Kepler-1589 b,Transit,2016,0.99166527,1.32,1.09,5.6,1418,14.965,G (Gaia),13.544,6166,4.32,0.284,1.18,1.25,2.75
Kepler-159,Kepler-159 b,Transit,2014,10.139623,6.26,2.38,2.55,377.79,14.888,G (Gaia),12.357,4625,4.65,-0.775,0.76,0.66,2.51
Kepler-159,Kepler-159 c,Transit,2014,43.595792,11.5,3.41,1.59,377.79,14.888,G (Gaia),12.357,4625,4.65,-0.775,0.76,0.66,2.51
Kepler-1590,Kepler-1590 b,Transit,2016,7.61760804,1.55,1.14,5.75,900,14.077,G (Gaia),12.693,6053,4.35,0.034,1.11,1.16,3.39
Kepler-1591,Kepler-1591 b,Transit,2016,8.18504949,2.15,1.27,5.77,1090,14.658,G (Gaia),13.107,6082,4.35,0.356,1.1,1.16,3.24
Kepler-1592,Kepler-1592 b,Transit,2016,3.05710069,2.99,1.54,4.5,1349,14.786,G (Gaia),13.345,6213,4.29,0.433,1.18,1.28,2.69
Kepler-1593,Kepler-1593 b,Transit,2016,174.509835,10.2,3.17,3.03,755,15.884,G (Gaia),13.452,4995,4.59,-0.788,0.81,0.77,3.63
Kepler-1594,Kepler-1594 b,Transit,2016,2.71603809,1.2,1.06,5.54,1100,14.741,G (Gaia),13.322,5946,4.39,-0.02,1.06,1.08,3.89
Kepler-1595,Kepler-1595 b,Transit,2016,4.56380468,2.04,1.23,6.02,841,15.401,G (Gaia),13.527,5203,4.56,-0.369,0.84,0.8,4.68
Kepler-1596,Kepler-1596 b,Transit,2016,66.373379,4.27,1.9,3.42,1166,15.366,G (Gaia),13.826,5706,4.49,0.458,0.95,0.92,3.89
Kepler-1597,Kepler-1597 b,Transit,2016,2.94654179,1.2,1.06,5.54,1255,14.115,G (Gaia),12.927,6377,4.24,0.422,1.25,1.39,2.4
Kepler-1598,Kepler-1598 b,Transit,2016,4.34195123,0.809,0.95,5.18,734,13.814,G (Gaia),12.42,5940,4.39,-0.052,1.07,1.09,3.8
Kepler-1599,Kepler-1599 b,Transit,2016,122.363553,3.26,1.62,4.21,1004,14.902,G (Gaia),13.361,5767,4.45,0.206,0.99,0.99,4.27
Kepler-16,Kepler-16 b,Transit,2011,228.776,105.833,8.449,0.964,75.25,11.747,G (Gaia),8.996,4450,4.65,-0.903,0.69,0.65,
Kepler-160,Kepler-160 b,Transit,2014,4.309427,2.99,1.54,4.5,962.92,14.616,G (Gaia),13.052,5857,4.51,0.004,0.97,0.88,4.07
Kepler-160,Kepler-160 c,Transit,2014,13.699087,12.7,3.61,1.48,962.92,14.616,G (Gaia),13.052,5857,4.51,0.004,0.97,0.88,4.07
Kepler-1600,Kepler-1600 b,Transit,2016,386.370548,9.96,3.13,1.78,992,15.814,G (Gaia),13.896,5214,4.55,-0.351,0.86,0.82,4.68
Kepler-1601,Kepler-1601 b,Transit,2016,2.20921951,0.477,0.82,4.75,660,13.678,G (Gaia),12.216,5869,4.4,0.035,1.04,1.07,4.27
Kepler-1602,Kepler-1602 b,Transit,2016,11.17931605,2.36,1.34,5.39,815,13.301,G (Gaia),12.06,6296,4.25,0.158,1.22,1.36,2.51
Kepler-1603,Kepler-1603 b,Transit,2016,2.27163926,2.21,1.29,5.66,1751,15.34,G (Gaia),13.84,6241,4.28,0.675,1.21,1.31,2.82
Kepler-1604,Kepler-1604 b,Transit,2016,0.68368426,2.57,1.41,5.04,562,14.899,G (Gaia),12.821,4976,4.59,-0.561,0.81,0.76,4.17
Kepler-1605,Kepler-1605 b,Transit,2016,85.7565495,1.28,1.08,5.58,224,12.413,G (Gaia),10.587,5280,4.55,0.429,0.86,0.82,4.68
Kepler-1606,Kepler-1606 b,Transit,2016,196.435224,4.94,2.07,1.67,880,15.106,G (Gaia),13.4,5422,4.53,-0.292,0.9,0.86,4.27
Kepler-1607,Kepler-1607 b,Transit,2016,13.6473676,0.721,0.92,5.09,735,13.875,G (Gaia),12.218,6116,4.33,0.59,1.14,1.21,3.16
Kepler-1608,Kepler-1608 b,Transit,2016,16.4735686,3.64,1.73,3.86,832,15.895,G (Gaia),13.836,4992,4.61,-0.537,0.75,0.72,5.13
Kepler-1609,Kepler-1609 b,Transit,2016,114.34219,5.56,2.22,2.79,1483,14.937,G (Gaia),13.508,6132,4.29,0.464,1.18,1.27,3.02
Kepler-161,Kepler-161 b,Transit,2014,4.921355,12.1,2.12,6.98,440.15,14.192,G (Gaia),12.246,5078,4.55,-0.469,0.86,0.81,4.68
Kepler-161,Kepler-161 c,Transit,2014,7.06424,11.8,2.05,7.53,440.15,14.192,G (Gaia),12.246,5078,4.55,-0.469,0.86,0.81,4.68
Kepler-1610,Kepler-1610 b,Transit,2016,8.70181574,3.22,1.61,4.24,1063,15.814,G (Gaia),13.905,5383,4.52,-0.509,0.91,0.87,4.68
Kepler-1611,Kepler-1611 b,Transit,2016,5.1762429,0.457,0.81,4.73,686,14.412,G (Gaia),12.689,5605,4.49,-0.113,0.94,0.93,5.01
Kepler-1612,Kepler-1612 b,Transit,2016,3.91795101,1.08,1.03,5.43,837,14.716,G (Gaia),13.075,5643,4.48,-0.211,0.96,0.94,4.57
Kepler-1613,Kepler-1613 b,Transit,2016,1.5184299,4.98,2.08,3.04,855,14.068,G (Gaia),12.653,6005,4.37,0.638,1.08,1.12,3.55
Kepler-1614,Kepler-1614 b,Transit,2016,3.9466141,2.83,1.49,4.7,982,15.941,G (Gaia),14.001,5121,4.58,-0.275,0.79,0.76,5.5
Kepler-1615,Kepler-1615 b,Transit,2016,47.3126192,4.9,2.06,3.08,940,14.524,G (Gaia),13.048,5865,4.42,0.397,1.04,1.05,3.89
Kepler-1616,Kepler-1616 b,Transit,2016,6.76284377,1.04,1.02,5.39,862,13.429,G (Gaia),12.228,6266,4.26,0.633,1.21,1.34,2.75
Kepler-1617,Kepler-1617 b,Transit,2016,27.4785572,1.87,1.2,5.95,813,13.656,G (Gaia),12.323,6167,4.32,0.334,1.15,1.22,3.02
Kepler-1618,Kepler-1618 b,Transit,2016,6.10826019,2.13,1.26,5.85,1238,13.566,G (Gaia),12.473,6620,4.15,0.647,1.41,1.65,1.78
Kepler-1619,Kepler-1619 b,Transit,2016,23.6225913,0.363,0.76,4.54,520,13.299,G (Gaia),11.858,5852,4.44,0.301,1,1,4.27
Kepler-162,Kepler-162 b,Transit,2014,6.919798,2.13,1.26,5.85,877.01,14.223,G (Gaia),12.658,5816,4.44,0.083,1.12,0.96,3.02
Kepler-162,Kepler-162 c,Transit,2014,19.446355,9.43,3.03,1.86,877.01,14.223,G (Gaia),12.658,5816,4.44,0.083,1.12,0.96,3.02
Kepler-1620,Kepler-1620 b,Transit,2016,101.951829,3.22,1.61,4.24,773,13.623,G (Gaia),12.198,6157,4.31,0.293,1.15,1.23,3.02
Kepler-1621,Kepler-1621 b,Transit,2016,92.263714,5.31,2.16,2.9,1461,15.011,G (Gaia),13.602,6158,4.31,0.332,1.15,1.24,2.69
Kepler-1622,Kepler-1622 b,Transit,2016,10.8118737,2.76,1.47,4.77,927,13.344,G (Gaia),12.104,6436,4.2,0.35,1.31,1.5,2.19
Kepler-1623,Kepler-1623 b,Transit,2016,4.36128348,2.27,1.31,5.55,986,14.924,G (Gaia),13.245,5772,4.44,-0.215,1,1,4.27
Kepler-1624,Kepler-1624 b,Transit,2016,3.29030452,27.6,5.7,0.819,199,15.668,G (Gaia),12.312,3636,4.78,-1.167,0.5,0.47,4.47
Kepler-1625,Kepler-1625 b,Transit,2016,287.378949,30.6,6.06,0.756,1213,15.763,G (Gaia),13.916,5677,4.48,0.395,0.96,0.94,4.37
Kepler-1626,Kepler-1626 b,Transit,2016,4.13962966,4.74,2.02,3.16,1718,14.224,G (Gaia),12.967,6826,4.08,0.482,1.51,1.85,1.55
Kepler-1627,Kepler-1627 b,Transit,2016,7.20283653,13.2,3.69,1.44,311,13.049,G (Gaia),11.194,5445,4.54,-0.318,0.87,0.84,4.68
Kepler-1628,Kepler-1628 b,Transit,2016,76.378033,33.8,6.43,0.699,352,16.953,G (Gaia),13.224,3724,4.74,-1.33,0.55,0.52,5.13
Kepler-1629,Kepler-1629 b,Transit,2016,3.87595807,0.381,0.77,4.59,390,12.714,G (Gaia),11.218,5776,4.44,-0.148,1.01,1.01,4.27
Kepler-163,Kepler-163 b,Transit,2014,7.810937,1.16,1.05,5.51,703.69,14.38,G (Gaia),12.784,5776,4.52,-0.17,0.98,0.92,4.27
Kepler-163,Kepler-163 c,Transit,2014,21.347262,5.73,2.26,2.73,703.69,14.38,G (Gaia),12.784,5776,4.52,-0.17,0.98,0.92,4.27
Kepler-1630,Kepler-1630 b,Transit,2016,509.997402,5.43,2.19,2.84,278,14.205,G (Gaia),11.803,4736,4.66,-0.716,0.66,0.63,5.01
Kepler-1631,Kepler-1631 b,Transit,2016,4.09513932,2.39,1.35,5.34,1190,15.495,G (Gaia),13.782,5679,4.47,-0.042,0.97,0.95,4.17
Kepler-1632,Kepler-1632 b,Transit,2016,448.303558,6.66,2.47,2.43,584,13.066,G (Gaia),11.66,6137,4.33,0.373,1.12,1.19,3.09
Kepler-1633,Kepler-1633 b,Transit,2016,186.404271,3.12,1.58,4.35,811,13.392,G (Gaia),12.109,6256,4.27,0.63,1.2,1.32,2.82
Kepler-1634,Kepler-1634 b,Transit,2016,374.876239,10.3,3.19,1.74,654,14.486,G (Gaia),12.721,5474,4.51,-0.296,0.92,0.89,4.47
Kepler-1635,Kepler-1635 b,Transit,2016,469.63111,12.9,3.64,1.47,1084,15.693,G (Gaia),13.895,5347,4.53,-0.285,0.89,0.85,4.9
Kepler-1636,Kepler-1636 b,Transit,2016,425.47785,10.5,3.23,1.71,1567,15.792,G (Gaia),14.231,5797,4.43,0.198,1.01,1.02,3.98
Kepler-1637,Kepler-1637 b,Transit,2016,6.10960324,0.64,0.89,4.99,506,13.273,G (Gaia),11.778,5789,4.43,0.023,1.02,1.02,4.17
Kepler-1638,Kepler-1638 b,Transit,2016,259.33683,4.16,1.87,0.56,879,14.748,G (Gaia),13.138,5710,4.47,0.391,0.97,0.95,4.37
Kepler-1639,Kepler-1639 b,Transit,2016,9.878482,7.18,2.58,2.3,1168,14.469,G (Gaia),13.211,6150,4.34,0.13,1.12,1.18,3.16
Kepler-164,Kepler-164 b,Transit,2014,5.03503,2.57,1.41,5.04,914.18,14.233,G (Gaia),12.935,5888,4.33,0.097,1.09,1.15,3.47
Kepler-164,Kepler-164 c,Transit,2014,10.945723,7.9,2.73,2.13,914.18,14.233,G (Gaia),12.935,5888,4.33,0.097,1.09,1.15,3.47
Kepler-164,Kepler-164 d,Transit,2014,28.986769,6.57,2.45,2.45,914.18,14.233,G (Gaia),12.935,5888,4.33,0.097,1.09,1.15,3.47
Kepler-1640,Kepler-1640 b,Transit,2016,7.5844126,20.7,4.82,1.02,1379,14.962,G (Gaia),13.079,6324,4.23,0.47,1.27,1.43,2.4
Kepler-1641,Kepler-1641 b,Transit,2016,19.672266,9.85,3.11,1.8,961,14.223,G (Gaia),12.735,6152,4.34,0.073,1.12,1.19,3.02
Kepler-1641,Kepler-1641 c,Transit,2016,32.657212,9.01,2.95,1.93,961,14.223,G (Gaia),12.735,6152,4.34,0.073,1.12,1.19,3.02
Kepler-1642,Kepler-1642 b,Transit,2016,12.2057513,10.3,3.2,1.73,447,14.101,G (Gaia),12.066,5355,4.54,-0.473,0.88,0.84,4.47
Kepler-1642,Kepler-1642 c,Transit,2016,6.6513802,7.56,2.66,2.21,447,14.101,G (Gaia),12.066,5355,4.54,-0.473,0.88,0.84,4.47
Kepler-1643,Kepler-1643 b,Transit,2016,5.34264507,5.9,2.3,2.66,414,13.827,G (Gaia),11.636,5508,4.52,-0.522,0.92,0.88,3.89
Kepler-1644,Kepler-1644 b,Transit,2016,21.0907758,4.19,1.88,3.47,592,14.183,G (Gaia),12.552,5499,4.53,-0.215,0.89,0.86,4.27
Kepler-1645,Kepler-1645 b,Transit,2016,16.1779561,3.82,1.78,3.72,844,14.441,G (Gaia),12.897,5812,4.43,0.301,1.02,1.02,4.17
Kepler-1646,Kepler-1646 b,Transit,2016,4.48558383,2.04,1.23,6.02,81,15.655,G (Gaia),12.029,3299,5.01,-2.14,0.24,0.26,4.68
Kepler-1647,Kepler-1647 b,Transit,2016,1107.5923,483,11.874,1.59,1256,13.579,G (Gaia),12.007,6210,4.02,0.644,1.22,1.79,4.4
Kepler-1649,Kepler-1649 b,Transit,2017,8.68909,1.28,1.08,5.58,92.43,16.268,G (Gaia),12.589,3240,4.98,-2.2,0.22,0.25,
Kepler-165,Kepler-165 b,Transit,2014,8.180848,5.99,2.32,2.64,570.07,14.794,G (Gaia),12.843,5211,4.54,-0.492,0.8,0.77,5.01
Kepler-165,Kepler-165 c,Transit,2014,15.31299,5.6,2.23,2.77,570.07,14.794,G (Gaia),12.843,5211,4.54,-0.492,0.8,0.77,5.01
Kepler-1650,Kepler-1650 b,Transit,2017,1.53818001,0.84,0.96,5.22,120.5,15.739,G (Gaia),12.199,3410,4.73,-1.871,0.33,0.33,
Kepler-1651,Kepler-1651 b,Transit,2017,9.87863917,4.04,1.84,3.56,69.4,13.072,G (Gaia),9.804,3713,4.72,-1.368,0.52,0.5,
